id_brg_nk;kd_barang;kd_br_adm;kat_barang;nama_barang;descnk;satuan;gbr_barang;qrcode_path;qrcode_data;inputer;create_at;last_updated;;;;;;;;;;;;;;;;
77;QKRE005;KEU2QKRE00577;KATBR001;Kresek ;28 cm;11;Karisma.png;;;KEU02;14/10/2024;KEU02;;;;;;KATBR001;;kg;9;;;;;;;
78;QKRE008;KEU2QKRE00878;KATBR001;Kresek ;Merah Jumbo;11;Karisma.png;;;KEU02;14/10/2024;KEU02;;;;;;KATBR001;;pack;11;;;;;;;
79;QKRE006;KEU2QKRE00679;KATBR002;Kresek ;40 cm;11;Karisma.png;;;KEU02;14/10/2024;KEU02;;;;;;KATBR001;;pack;11;;;;;;;
80;QKRE004;KEU2QKRE00480;KATBR001;Kresek ;24 cm;11;Karisma.png;;;KEU02;14/10/2024;KEU02;;;;;;KATBR002;;pack;11;;;;;;;
81;QKRE007;KEU2QKRE00781;KATBR002;Kresek ;Kuning Jumbo;11;Karisma.png;;;KEU02;14/10/2024;KEU02;;;;;;KATBR001;;pack;11;;;;;;;
82;QKRE003;KEU2QKRE00382;KATBR002;Kresek ;Kecil;11;Karisma.png;;;KEU02;14/10/2024;KEU02;;;;;;KATBR002;;pack;11;;;;;;;
83;QKRE001;KEU2QKRE00183;KATBR002;Kresek ;Hitam Sampah;21;Karisma.png;;;KEU02;14/10/2024;KEU02;;;;;;KATBR002;;pack;11;;;;;;;
84;QKUA002;KEU2QKUA00284;KATBR002;Kuas;1 dim;2;Karisma.png;;;KEU02;14/10/2024;KEU02;;;;;;KATBR002;;lbr;21;;;;;;;
85;QKUA001;KEU2QKUA00185;KATBR002;Kuas;4 dim;2;Karisma.png;;;KEU02;14/10/2024;KEU02;;;;;;KATBR002;;pcs;2;;;;;;;
86;QLAK003;KEU2QLAK00386;KATBR002;Lakban;Kuning;2;Karisma.png;;;KEU02;14/10/2024;KEU02;;;;;;KATBR002;;pcs;2;;;;;;;
87;QLAK002;KEU2QLAK00287;KATBR002;Lakban;Fragile;2;Karisma.png;;;KEU02;14/10/2024;KEU02;;;;;;KATBR002;;pcs;2;;;;;;;
88;QLAK004;KEU2QLAK00288;KATBR002;Lakban;Bening;2;Karisma.png;;;KEU02;14/10/2024;KEU02;;;;;;KATBR002;;pcs;2;;;;;;;
89;QLAK001;KEU2QLAK00189;KATBR002;Lakban;Coklat;2;Karisma.png;;;KEU02;14/10/2024;KEU02;;;;;;KATBR002;;pcs;2;;;;;;;
90;QLAM002;KEU2QLAM00290;KATBR002;Lampu Hannochs ;25 Watt Sonic;2;Karisma.png;;;KEU02;14/10/2024;KEU02;;;;;;KATBR002;;pcs;2;;;;;;;
91;QLAM004;KEU2QLAM00491;KATBR001;Lampu Hannochs ;15 Watt Sonic;2;Karisma.png;;;KEU02;14/10/2024;KEU02;;;;;;KATBR002;;pcs;2;;;;;;;
92;QLAM003;KEU2QLAM00392;KATBR001;Lampu Hannochs ;9 Watt Sonic;2;Karisma.png;;;KEU02;14/10/2024;KEU02;;;;;;KATBR001;;pcs;2;;;;;;;
93;QLAM001;KEU2QLAM00193;KATBR001;Lampu Hannochs ;12 Watt;2;Karisma.png;;;KEU02;14/10/2024;KEU02;;;;;;KATBR001;;pcs;2;;;;;;;
94;QLAM005;KEU2QLAM00594;KATBR001;Lampu Philips;TL 36 Watt;2;Karisma.png;;;KEU02;14/10/2024;KEU02;;;;;;KATBR001;;pcs;2;;;;;;;
95;QLAP001;KEU2QLAP00195;KATBR001;Laptop;;2;Karisma.png;;;KEU02;14/10/2024;KEU02;;;;;;KATBR001;;pcs;2;;;;;;;
96;QLEM002;KEU2QLEM00296;KATBR001;Lem;Gorilla Wood Glue;1;Karisma.png;;;KEU02;14/10/2024;KEU02;;;;;;KATBR001;;pcs;2;;;;;;;
97;QLEM001;KEU2QLEM00197;KATBR001;Lem;Castol;2;Karisma.png;;;KEU02;14/10/2024;KEU02;;;;;;KATBR001;;btl;1;;;;;;;
98;QMAP001;KEU2QMAP00198;KATBR001;Map ;L bening;2;Karisma.png;;;KEU02;14/10/2024;KEU02;;;;;;KATBR001;;pcs;2;;;;;;;
99;QMAS001;KEU2QMAS00199;KATBR001;Masker;;2;Karisma.png;;;KEU02;14/10/2024;KEU02;;;;;;KATBR001;;pcs;2;;;;;;;
100;QMOT001;KEU2QMOT001100;KATBR001;Motherboard PC;MOBO AFOX B250;2;Karisma.png;;;KEU02;14/10/2024;KEU02;;;;;;KATBR001;;pcs;2;;;;;;;
101;QPAK001;KEU2QPAK001101;KATBR001;Paku;;9;Karisma.png;;;KEU02;14/10/2024;KEU02;;;;;;KATBR001;;pcs;2;;;;;;;
102;QPAP002;KEU2QPAP002102;KATBR001;Papan Clipboard;Alas Ujian;2;Karisma.png;;;KEU02;14/10/2024;KEU02;;;;;;KATBR001;;kg;9;;;;;;;
103;QPAP001;KEU2QPAP001103;KATBR001;Paperclip;No. 5;17;Karisma.png;;;KEU02;14/10/2024;KEU02;;;;;;KATBR001;;pcs;2;;;;;;;
104;QPAS001;KEU2QPAS001104;KATBR001;Pasta;;17;Karisma.png;;;KEU02;14/10/2024;KEU02;;;;;;KATBR001;;kotak;17;;;;;;;
105;QPEN001;KEU2QPEN001105;KATBR002;Penghapus;Faber Castel;2;Karisma.png;;;KEU02;14/10/2024;KEU02;;;;;;KATBR001;;kotak;17;;;;;;;
106;QPEN002;KEU2QPEN002106;KATBR002;Pengharum Ruangan;Stela Pocket;2;Karisma.png;;;KEU02;14/10/2024;KEU02;;;;;;KATBR002;;pcs;2;;;;;;;
107;QPIT001;KEU2QPIT001107;KATBR002;Pita Printer;;2;Karisma.png;;;KEU02;14/10/2024;KEU02;;;;;;KATBR002;;pcs;2;;;;;;;
108;QPLO001;KEU2QPLO001108;KATBR002;Plong;Target Durable Punch;2;Karisma.png;;;KEU02;14/10/2024;KEU02;;;;;;KATBR002;;pcs;2;;;;;;;
109;QPOL001;KEU2QPOL001109;KATBR002;Polki;500 ml;1;Karisma.png;;;KEU02;14/10/2024;KEU02;;;;;;KATBR002;;pcs;2;;;;;;;
110;QPOS001;KEU2QPOS001110;KATBR002;Poster ;ODP ukuran 0.33 x 0.5 Meter;20;Karisma.png;;;KEU02;14/10/2024;KEU02;;;;;;KATBR002;;btl;1;;;;;;;
111;QPOT002;KEU2QPOT002111;KATBR001;Pot Cantol;;2;Karisma.png;;;KEU02;14/10/2024;KEU02;;;;;;KATBR002;;lembar;20;;;;;;;
112;QPOT001;KEU2QPOT001112;KATBR001;Pot Gantung;;2;Karisma.png;;;KEU02;14/10/2024;KEU02;;;;;;KATBR001;;pcs;2;;;;;;;
113;QRAM001;KEU2QRAM001113;KATBR001;RAM PC 8 Gb;SAMSUNG 8 Gb (DDR4);2;Karisma.png;;;KEU02;14/10/2024;KEU02;;;;;;KATBR001;;pcs;2;;;;;;;
114;QREF001;KEU2QREF001114;KATBR001;Refil Spidol Boardmarker;Hitam;2;Karisma.png;;;KEU02;14/10/2024;KEU02;;;;;;KATBR001;;pcs;2;;;;;;;
115;QREF002;KEU2QREF002115;KATBR001;Refil Spidol Marker;Hitam;2;Karisma.png;;;KEU02;14/10/2024;KEU02;;;;;;KATBR001;;pcs;2;;;;;;;
116;QREF003;KEU2QREF003116;KATBR001;Refil Spidol Marker;Merah;2;Karisma.png;;;KEU02;14/10/2024;KEU02;;;;;;KATBR001;;pcs;2;;;;;;;
117;QREM001;KEU2QREM001117;KATBR001;Remover;;2;Karisma.png;;;KEU02;14/10/2024;KEU02;;;;;;KATBR001;;pcs;2;;;;;;;
118;QROY001;KEU2QROY001118;KATBR002;Royco;;11;Karisma.png;;;KEU02;14/10/2024;KEU02;;;;;;KATBR001;;pcs;2;;;;;;;
