id_brg_nk;kd_barang;kd_br_adm;kat_barang;nama_barang;descnk;satuan;gbr_barang;qrcode_path;qrcode_data;inputer;create_at;last_updated
50;QISI001;KEU2QISI00150;KATBR001;Isi Staples;No. 3;17;Karisma.png;;;KEU02;14/10/2024;KEU02
51;QISO001;KEU2QISO00151;KATBR001;Isolasi;Hitam Sedang;2;Karisma.png;;;KEU02;14/10/2024;KEU02
52;QISO002;KEU2QISO00252;KATBR001;Isolasi;Sedang Lubang Besar;2;Karisma.png;;;KEU02;14/10/2024;KEU02
53;QISO003;KEU2QISO00353;KATBR001;Isolasi;Double Tape Besar;2;Karisma.png;;;KEU02;14/10/2024;KEU02
54;QISO004;KEU2QISO00454;KATBR001;Isolasi;Kecil Lubang Besar;2;Karisma.png;;;KEU02;14/10/2024;KEU02
55;QISO005;KEU2QISO00555;KATBR001;Isolasi;Hitam kecil;2;Karisma.png;;;KEU02;14/10/2024;KEU02
56;QJAR001;KEU2QJAR00156;KATBR001;Jarum Karung;;2;Karisma.png;;;KEU02;14/10/2024;KEU02
57;QKAL001;KEU2QKAL00157;KATBR001;Kalender;Harian Cina;2;Karisma.png;;;KEU02;14/10/2024;KEU02
58;QKAL002;KEU2QKAL00258;KATBR001;Kalender;Bali;2;Karisma.png;;;KEU02;14/10/2024;KEU02
59;QKAR001;KEU2QKAR00159;KATBR001;Karet;;11;Karisma.png;;;KEU02;14/10/2024;KEU02
60;QKAR002;KEU2QKAR00260;KATBR001;Kartu Nama;;17;Karisma.png;;;KEU02;14/10/2024;KEU02
61;QKAR003;KEU2QKAR00361;KATBR001;Kartu Stok;Kuning;19;Karisma.png;;;KEU02;14/10/2024;KEU02
62;QKER010;KEU2QKER01062;KATBR001;Kertas ;Flipcart;20;Karisma.png;;;KEU02;14/10/2024;KEU02
63;QKER005;KEU2QKER00563;KATBR001;Kertas ;Karbon;11;Karisma.png;;;KEU02;14/10/2024;KEU02
64;QKER009;KEU2QKER00964;KATBR001;Kertas ;3 Ply NCR;3;Karisma.png;;;KEU02;14/10/2024;KEU02
65;QKER007;KEU2QKER00765;KATBR001;Kertas ;A4;11;Karisma.png;;;KEU02;14/10/2024;KEU02
66;QKER008;KEU2QKER00866;KATBR001;Kertas ;4 Ply NCR PRS;3;Karisma.png;;;KEU02;14/10/2024;KEU02
67;QKER004;KEU2QKER00467;KATBR001;Kertas ;Label;21;Karisma.png;;;KEU02;14/10/2024;KEU02
68;QKER006;KEU2QKER00668;KATBR001;Kertas ;F4;11;Karisma.png;;;KEU02;14/10/2024;KEU02
69;QKER001;KEU2QKER00169;KATBR001;Kertas ;Stiker;21;Karisma.png;;;KEU02;14/10/2024;KEU02
70;QKER002;KEU2QKER00270;KATBR001;Kertas ;Loose Leaf B5;21;Karisma.png;;;KEU02;14/10/2024;KEU02
71;QKER003;KEU2QKER00371;KATBR001;Kertas ;Loose Leaf A5;21;Karisma.png;;;KEU02;14/10/2024;KEU02
72;QKES001;KEU2QKES00172;KATBR001;Keset;;2;Karisma.png;;;KEU02;14/10/2024;KEU02
73;QKLI001;KEU2QKLI00173;KATBR001;Klip Trigonal;;17;Karisma.png;;;KEU02;14/10/2024;KEU02
74;QKRE002;KEU2QKRE00274;KATBR001;Kresek ;Putih 21 x 40 cm;11;Karisma.png;;;KEU02;14/10/2024;KEU02
